##FastQC	0.12.1
>>Basic Statistics	pass
#Measure	Value
Filename	11_2H_both_S9_L008_R2_001.fastq.gz
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	17919193
Total Bases	1.8 Gbp
Sequences flagged as poor quality	0
Sequence length	101
%GC	48
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	30.607104907012275	32.0	32.0	32.0	32.0	32.0
2	31.26561620269395	32.0	32.0	32.0	32.0	32.0
3	34.52520970112884	37.0	32.0	37.0	32.0	37.0
4	35.410014334908944	37.0	37.0	37.0	32.0	37.0
5	35.82596526528845	37.0	37.0	37.0	37.0	37.0
6	38.99072179199141	41.0	41.0	41.0	37.0	41.0
7	39.09456960478075	41.0	41.0	41.0	37.0	41.0
8	39.243424410909576	41.0	41.0	41.0	37.0	41.0
9	39.39083032366469	41.0	41.0	41.0	37.0	41.0
10-11	39.38100694601593	41.0	41.0	41.0	37.0	41.0
12-13	39.35558442838358	41.0	41.0	41.0	37.0	41.0
14-15	39.302549422845104	41.0	41.0	41.0	37.0	41.0
16-17	39.09938628374614	41.0	41.0	41.0	37.0	41.0
18-19	39.178542443289714	41.0	41.0	41.0	37.0	41.0
20-21	39.16137197138286	41.0	41.0	41.0	37.0	41.0
22-23	39.167476598974076	41.0	41.0	41.0	37.0	41.0
24-25	39.21118481730734	41.0	41.0	41.0	37.0	41.0
26-27	39.230080227385244	41.0	41.0	41.0	37.0	41.0
28-29	39.23038166395105	41.0	41.0	41.0	37.0	41.0
30-31	39.154253709974554	41.0	41.0	41.0	37.0	41.0
32-33	38.81317576634171	41.0	41.0	41.0	32.0	41.0
34-35	38.623838026634346	41.0	41.0	41.0	32.0	41.0
36-37	38.512570962319565	41.0	41.0	41.0	32.0	41.0
38-39	38.492826518471006	41.0	41.0	41.0	32.0	41.0
40-41	38.80336991180351	41.0	41.0	41.0	32.0	41.0
42-43	38.96062024110125	41.0	41.0	41.0	37.0	41.0
44-45	39.06373004632519	41.0	41.0	41.0	37.0	41.0
46-47	39.04419666108848	41.0	41.0	41.0	37.0	41.0
48-49	39.0050857759052	41.0	41.0	41.0	37.0	41.0
50-51	39.01094441027562	41.0	41.0	41.0	37.0	41.0
52-53	39.06938629992992	41.0	41.0	41.0	37.0	41.0
54-55	38.874889120285715	41.0	41.0	41.0	32.0	41.0
56-57	38.98624952027694	41.0	41.0	41.0	37.0	41.0
58-59	38.90948682789454	41.0	41.0	41.0	34.5	41.0
60-61	38.822563103148674	41.0	41.0	41.0	32.0	41.0
62-63	38.87969664705325	41.0	41.0	41.0	32.0	41.0
64-65	38.826886149393005	41.0	41.0	41.0	32.0	41.0
66-67	38.800784946063146	41.0	41.0	41.0	32.0	41.0
68-69	38.724180631348744	41.0	41.0	41.0	32.0	41.0
70-71	38.76128029314713	41.0	41.0	41.0	32.0	41.0
72-73	38.679442734949056	41.0	41.0	41.0	32.0	41.0
74-75	38.661080049754474	41.0	41.0	41.0	32.0	41.0
76-77	38.11063746006866	41.0	39.0	41.0	32.0	41.0
78-79	38.23869660313386	41.0	39.0	41.0	32.0	41.0
80-81	38.5951208293811	41.0	41.0	41.0	32.0	41.0
82-83	38.67647608349327	41.0	41.0	41.0	32.0	41.0
84-85	38.5698400871066	41.0	41.0	41.0	32.0	41.0
86-87	38.51161511570304	41.0	41.0	41.0	32.0	41.0
88-89	38.495517599481175	41.0	41.0	41.0	32.0	41.0
90-91	38.4144256942821	41.0	41.0	41.0	32.0	41.0
92-93	38.31178075374265	41.0	41.0	41.0	32.0	41.0
94-95	38.17684602202789	41.0	39.0	41.0	32.0	41.0
96-97	38.124590432169576	41.0	37.0	41.0	32.0	41.0
98-99	37.95582228507723	41.0	37.0	41.0	29.5	41.0
100-101	36.99869581180358	41.0	37.0	41.0	27.0	41.0
>>END_MODULE
>>Per tile sequence quality	fail
#Tile	Base	Mean
1101	1	-1.6418423510634987
1101	2	-0.5211785847927715
1101	3	-1.1140203873383498
1101	4	-0.8814731302112335
1101	5	-0.761525705435858
1101	6	-1.0774680050261765
1101	7	-0.43585115047353185
1101	8	-0.15313814216442978
1101	9	-0.09676479639598767
1101	10-11	-0.04593442689382954
1101	12-13	-0.05765895464256943
1101	14-15	-0.01772912729692422
1101	16-17	0.01805432763044479
1101	18-19	-0.004483627630563092
1101	20-21	0.04059413225099462
1101	22-23	-0.003463301474681657
1101	24-25	0.005662791289474001
1101	26-27	-0.013139426940234955
1101	28-29	-0.00937640832344755
1101	30-31	-0.062242868085832015
1101	32-33	0.1577006591063821
1101	34-35	0.03750528637629458
1101	36-37	0.0786653131678392
1101	38-39	-0.07565018435537496
1101	40-41	-0.12965615977301326
1101	42-43	-0.09283710740310624
1101	44-45	-0.031393441411175615
1101	46-47	0.012052634335759649
1101	48-49	0.03377288042264581
1101	50-51	0.019016064617552786
1101	52-53	-0.041510557845889196
1101	54-55	0.1361345178771174
1101	56-57	-0.03535157988140725
1101	58-59	-0.03816723807686628
1101	60-61	0.047647651530148494
1101	62-63	-0.09897529389692039
1101	64-65	-0.05687562493321252
1101	66-67	0.0364263740755959
1101	68-69	0.009804557862715058
1101	70-71	-0.07456145795337221
1101	72-73	-0.01817476407150309
1101	74-75	0.0024347515831451005
1101	76-77	-0.15135311641707005
1101	78-79	0.032434527435988514
1101	80-81	-0.08973788223863721
1101	82-83	-0.10896755830527383
1101	84-85	-0.04828280954566111
1101	86-87	-0.04421683466291171
1101	88-89	-0.1791084379382326
1101	90-91	-0.16227473596117648
1101	92-93	-0.1162455786657901
1101	94-95	-0.016052713487674453
1101	96-97	-0.12955151432513645
1101	98-99	-0.049225348858044526
1101	100-101	-0.11259524552607303
1102	1	-0.5172879227017937
1102	2	-0.6042558000824627
1102	3	-1.2379192513568356
1102	4	-1.0564675377485315
1102	5	-1.072166341529666
1102	6	-1.3968104239807602
1102	7	-1.1136591446830124
1102	8	-0.7205535264340597
1102	9	-0.4071616263619049
1102	10-11	-0.2310725544110923
1102	12-13	-0.1685017596862295
1102	14-15	-0.18954703829540875
1102	16-17	-0.13909592861299558
1102	18-19	-0.13925673155552687
1102	20-21	-0.16768050724368777
1102	22-23	-0.2621018742851291
1102	24-25	-0.21624294946568767
1102	26-27	-0.08311850922391528
1102	28-29	-0.15541214058360708
1102	30-31	-0.1313665832611406
1102	32-33	0.026540689526214578
1102	34-35	-0.053274462815060986
1102	36-37	-0.08438789326736895
1102	38-39	-0.18351580432027248
1102	40-41	-0.21759826690603745
1102	42-43	-0.1481377967598334
1102	44-45	-0.1727974822012257
1102	46-47	-0.1693106303595755
1102	48-49	-0.1548241858944266
1102	50-51	-0.14674920406792324
1102	52-53	-0.2436440050200943
1102	54-55	0.0018901559928181655
1102	56-57	-0.18867621666092305
1102	58-59	-0.15255073285940313
1102	60-61	-0.1062680537337286
1102	62-63	-0.20111480132557347
1102	64-65	-0.10608513113471929
1102	66-67	-0.13132795254016827
1102	68-69	-0.0644725046447121
1102	70-71	-0.1099353648861765
1102	72-73	-0.09815214745435696
1102	74-75	-0.2136969651081131
1102	76-77	-0.5177401607736698
1102	78-79	-0.09885506995966153
1102	80-81	-0.14583646343369594
1102	82-83	-0.26148857960405536
1102	84-85	-0.14203197575019288
1102	86-87	-0.16135732074160103
1102	88-89	-0.26189882139728127
1102	90-91	-0.24878431873697338
1102	92-93	-0.2543946056812274
1102	94-95	-0.28546569226819685
1102	96-97	-0.32147400821254024
1102	98-99	-0.20136285889019945
1102	100-101	-0.27500390176236067
1103	1	-0.6477196554180544
1103	2	-0.5718624487408945
1103	3	-1.2434326254702697
1103	4	-1.0973190589676847
1103	5	-1.0041165482974463
1103	6	-1.1108899837431636
1103	7	-1.1852313320499803
1103	8	-0.9928772011916749
1103	9	-0.49497019234387096
1103	10-11	-0.272018680663642
1103	12-13	-0.20304790982227416
