##FastQC	0.12.1
>>Basic Statistics	pass
#Measure	Value
Filename	29_4E_fox_S21_L008_R2_001.fastq.gz
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	4827433
Total Bases	487.5 Mbp
Sequences flagged as poor quality	0
Sequence length	101
%GC	50
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	30.209847759668545	32.0	32.0	32.0	27.0	32.0
2	30.909520857151204	32.0	32.0	32.0	32.0	32.0
3	33.51493039882687	37.0	32.0	37.0	27.0	37.0
4	34.41085272441896	37.0	37.0	37.0	27.0	37.0
5	35.036403198138636	37.0	37.0	37.0	32.0	37.0
6	37.81726312928631	41.0	37.0	41.0	32.0	41.0
7	37.58075938081378	41.0	37.0	41.0	27.0	41.0
8	38.087742491713506	41.0	41.0	41.0	32.0	41.0
9	38.2646611563537	41.0	41.0	41.0	32.0	41.0
10-11	38.19051139601523	41.0	41.0	41.0	32.0	41.0
12-13	38.19214217991218	41.0	41.0	41.0	32.0	41.0
14-15	38.18255230057051	41.0	41.0	41.0	32.0	41.0
16-17	37.83960295254227	41.0	39.0	41.0	27.0	41.0
18-19	38.00891395074774	41.0	39.0	41.0	29.5	41.0
20-21	37.83473856602464	41.0	39.0	41.0	27.0	41.0
22-23	37.954280359768845	41.0	39.0	41.0	29.5	41.0
24-25	38.17194055308484	41.0	41.0	41.0	32.0	41.0
26-27	38.04545117456835	41.0	41.0	41.0	29.5	41.0
28-29	38.11450267668137	41.0	41.0	41.0	32.0	41.0
30-31	37.88086629063521	41.0	39.0	41.0	27.0	41.0
32-33	37.212116667388244	41.0	37.0	41.0	27.0	41.0
34-35	36.81004480020748	41.0	37.0	41.0	22.0	41.0
36-37	36.68505601217044	41.0	37.0	41.0	22.0	41.0
38-39	36.70577509827687	41.0	37.0	41.0	22.0	41.0
40-41	37.50951012681067	41.0	37.0	41.0	27.0	41.0
42-43	37.912219185641725	41.0	39.0	41.0	27.0	41.0
44-45	38.120432018424694	41.0	41.0	41.0	32.0	41.0
46-47	38.142747605197215	41.0	41.0	41.0	32.0	41.0
48-49	38.124659316866754	41.0	41.0	41.0	32.0	41.0
50-51	38.12060457390087	41.0	41.0	41.0	32.0	41.0
52-53	38.18383538414723	41.0	41.0	41.0	32.0	41.0
54-55	37.99567648064716	41.0	41.0	41.0	27.0	41.0
56-57	38.10086250808659	41.0	41.0	41.0	32.0	41.0
58-59	38.01695880605696	41.0	41.0	41.0	32.0	41.0
60-61	37.924448770184895	41.0	41.0	41.0	27.0	41.0
62-63	37.96313423718154	41.0	41.0	41.0	29.5	41.0
64-65	37.913492636769895	41.0	41.0	41.0	27.0	41.0
66-67	37.88945936691405	41.0	41.0	41.0	27.0	41.0
68-69	37.79935651100699	41.0	37.0	41.0	27.0	41.0
70-71	37.81910831284453	41.0	37.0	41.0	27.0	41.0
72-73	37.72273908306961	41.0	37.0	41.0	27.0	41.0
74-75	37.69599381286079	41.0	37.0	41.0	27.0	41.0
76-77	37.13268594302603	41.0	37.0	41.0	27.0	41.0
78-79	37.284685359693235	41.0	37.0	41.0	27.0	41.0
80-81	37.661191154802154	41.0	37.0	41.0	27.0	41.0
82-83	37.74309120395871	41.0	37.0	41.0	27.0	41.0
84-85	37.61878953058489	41.0	37.0	41.0	27.0	41.0
86-87	37.546861758619954	41.0	37.0	41.0	27.0	41.0
88-89	37.50662691745281	41.0	37.0	41.0	27.0	41.0
90-91	37.40276592134992	41.0	37.0	41.0	27.0	41.0
92-93	37.279581612007874	41.0	37.0	41.0	27.0	41.0
94-95	37.13583388935693	41.0	37.0	41.0	24.5	41.0
96-97	37.06424294236709	41.0	37.0	41.0	24.5	41.0
98-99	36.86713394054355	41.0	37.0	41.0	22.0	41.0
100-101	35.83064301462082	39.0	34.5	41.0	22.0	41.0
>>END_MODULE
>>Per tile sequence quality	warn
#Tile	Base	Mean
1101	1	-0.6708256534878636
1101	2	-0.5999587024273296
1101	3	-0.9549752853103328
1101	4	-0.9124974342125682
1101	5	-0.9168628678725597
1101	6	-1.304822610782928
1101	7	-0.2666060929962768
1101	8	-0.3482870747988258
1101	9	0.05329718469881328
1101	10-11	0.11368435431583634
1101	12-13	0.1290824693107524
1101	14-15	0.05995909704879665
1101	16-17	0.0773064185255734
1101	18-19	0.1130844957078807
1101	20-21	0.26411304290525095
1101	22-23	0.13977568350634328
1101	24-25	0.10070024392611998
1101	26-27	0.2056376212831097
1101	28-29	0.048145326245951026
1101	30-31	0.22758151465331622
1101	32-33	0.4565974916974511
1101	34-35	0.3744831795874859
1101	36-37	0.3842187379818398
1101	38-39	0.16132545801017528
1101	40-41	-0.08215818966827726
1101	42-43	-0.08107452018858652
1101	44-45	-0.12708844006408526
1101	46-47	-0.01700800511485312
1101	48-49	0.023881715527856784
1101	50-51	-0.03449312141990646
1101	52-53	-0.10928399065231531
1101	54-55	0.04338391207178205
1101	56-57	-0.07953348448262432
1101	58-59	-0.05857067624121015
1101	60-61	0.0035998485120103396
1101	62-63	-0.1253199067506543
1101	64-65	-0.056991605941909995
1101	66-67	0.021653048492083826
1101	68-69	0.006759344535005596
1101	70-71	-0.0988372576876344
1101	72-73	-0.021596956094846576
1101	74-75	-0.09236896001799977
1101	76-77	-0.3125386184568555
1101	78-79	-0.0457746519508504
1101	80-81	-0.10897617332429377
1101	82-83	-0.13939737064392688
1101	84-85	-0.08833994289501135
1101	86-87	-0.13186725200968397
1101	88-89	-0.2219607261260208
1101	90-91	-0.1931916238600877
1101	92-93	-0.15444509655654315
1101	94-95	-0.07275246396156376
1101	96-97	-0.10009796596411036
1101	98-99	-0.0742755092157239
1101	100-101	-0.2251586015817466
1102	1	-0.5201423393404596
1102	2	-0.5317912699634277
1102	3	-1.2818645836863922
1102	4	-1.0748305178243172
1102	5	-1.0700949351221638
1102	6	-1.4273375179431866
1102	7	-0.9509303712282815
1102	8	-0.7833100346601825
1102	9	-0.18620267872737628
1102	10-11	-0.2061035744333921
1102	12-13	-0.06273369062724754
1102	14-15	-0.15998119466161853
1102	16-17	-0.08700616542749628
1102	18-19	-0.008474394778666294
1102	20-21	0.022185304740915512
1102	22-23	-0.009866811704199563
1102	24-25	-0.09569430118001065
1102	26-27	0.1054613169095191
1102	28-29	-0.021273056729491202
1102	30-31	-0.011301306891326135
1102	32-33	0.16804420425103928
1102	34-35	0.12068171902076585
1102	36-37	0.041335545368724524
1102	38-39	-0.021683448101541103
1102	40-41	-0.2117540858009619
1102	42-43	-0.17799249672225415
1102	44-45	-0.1301033713531652
1102	46-47	-0.15169929910836544
1102	48-49	-0.07417874895428866
1102	50-51	-0.01757132175658427
1102	52-53	-0.18384579486965436
1102	54-55	0.028760441147952065
1102	56-57	-0.20283410100913102
1102	58-59	-0.1546921674304329
1102	60-61	-0.06968757915424106
1102	62-63	-0.21865112237001227
1102	64-65	-0.0855170257716722
1102	66-67	-0.027785031097415924
1102	68-69	-0.053831403959755164
1102	70-71	-0.23861270504299625
1102	72-73	0.00888828620302462
1102	74-75	-0.07709658779884165
1102	76-77	-0.5134429104352591
1102	78-79	-0.2055339165980996
1102	80-81	-0.10321430463849168
1102	82-83	-0.20586618098061393
1102	84-85	-0.12575179656472102
1102	86-87	-0.1412491465859489
1102	88-89	-0.20295494598502017
1102	90-91	-0.24076991017033578
1102	92-93	-0.34682535552672533
1102	94-95	-0.2404887635937243
1102	96-97	-0.29452870617542715
1102	98-99	-0.2177220512277529
1102	100-101	-0.4167255084590238
1103	1	-0.7505058645078009
1103	2	-0.5511429955717837
1103	3	-1.3062548275888375
1103	4	-1.1071207993192616
1103	5	-1.30531743227467
1103	6	-1.0878502348716026
1103	7	-1.2856484554691647
1103	8	-1.1962194142715745
1103	9	-0.5211384628678246
1103	10-11	-0.3882561102444697
1103	12-13	-0.2944045373564208
1103	14-15	-0.4170707489940142
1103	16-17	-0.24562691312566187
1103	18-19	-0.19425993793430507
1103	20-21	-0.07499918470232103
1103	22-23	-0.2578354135434324
1103	24-25	-0.11702103618649318
1103	26-27	-0.15560631032990813
1103	28-29	-0.2926948951714863
1103	30-31	-0.28960874628042177
1103	32-33	-0.16004301036851842
1103	34-35	-0.37403064218151627
1103	36-37	-0.3016068819851583
1103	38-39	-0.5956093964707563
1103	40-41	-0.5720255373767671
1103	42-43	-0.33458942086954835
1103	44-45	-0.25581496387282243
1103	46-47	-0.2317690977359561
1103	48-49	-0.19869748068403936
1103	50-51	-0.19505340920686365
1103	52-53	-0.17613035332600901
1103	54-55	-0.06631662349433043
1103	56-57	-0.31189445662304394
1103	58-59	-0.27338798792901287
1103	60-61	-0.10205304566604667
1103	62-63	-0.14214475689227868
1103	64-65	-0.03346598973336512
1103	66-67	0.038021496533076515
1103	68-69	-0.11337625406663676
1103	70-71	-0.17770498623495712
1103	72-73	-0.21723121308721005
1103	74-75	-0.30324021362432774
1103	76-77	-0.3396735040041392
1103	78-79	-0.20025581619804456
1103	80-81	-0.20448740018517952
1103	82-83	-0.16379455322500291
1103	84-85	-0.20605107781840104
1103	86-87	-0.28941749369385406
1103	88-89	-0.3401389865624864
1103	90-91	-0.32012993979547133
1103	92-93	-0.35281771358695124
1103	94-95	-0.33143121339089276
1103	96-97	-0.41718632819677737
1103	98-99	-0.2920329019967127
1103	100-101	-0.564068503628107
1104	1	-0.39197831769258684
1104	2	-0.4735056455662594
1104	3	-1.1974545635437295
1104	4	-1.0489714330628104
1104	5	-0.9033839424359797
1104	6	-1.2998071245136131
1104	7	-1.2030552111479125
1104	8	-1.3953416162905086
1104	9	-0.9433839374175221
1104	10-11	-0.6132265856695156
1104	12-13	-0.22827261088842477
1104	14-15	-0.15935463602678368
1104	16-17	-0.15589541236525406
1104	18-19	-0.15025685342711625
1104	20-21	-0.09794060050849396
1104	22-23	-0.20412853564067746
1104	24-25	-0.039334829150483586
1104	26-27	-0.051656707985422656
1104	28-29	-0.1459463169789288
1104	30-31	-0.0386648420228326
1104	32-33	-0.0384918756504149
1104	34-35	-0.20363246552589231
1104	36-37	-0.1949399873190103
1104	38-39	-0.48755265500125944
1104	40-41	-0.4236519743502498
1104	42-43	-0.22860058035816877
1104	44-45	-0.18345813600780758
1104	46-47	-0.024247585035439556
1104	48-49	0.033475389604070926
1104	50-51	-0.10481414818573143
1104	52-53	-0.1353441514199858
1104	54-55	0.05737271202019656
1104	56-57	-0.13459012156586425
1104	58-59	-0.160462399086434
1104	60-61	0.022213807091617355
1104	62-63	-0.15941680288086246
1104	64-65	-0.13424658936655476
1104	66-67	-0.10550010193867365
1104	68-69	-0.21252535459513666
1104	70-71	-0.12008186448242242
1104	72-73	-0.1142781313078629
1104	74-75	-0.1251178490200573
1104	76-77	-0.13608362511800465
1104	78-79	0.027982543139437155
1104	80-81	-0.06891437914599408
1104	82-83	-0.09389604827727993
1104	84-85	0.020122230554413534
1104	86-87	-0.10438473641205093
1104	88-89	-0.15564892231820693
1104	90-91	-0.13616633719747284
1104	92-93	-0.13954062555282576
1104	94-95	-0.22536781162244068
1104	96-97	-0.1894685133763261
1104	98-99	-0.03324836720113922
1104	100-101	-0.09846683879764839
1105	1	-0.14243952536619275
1105	2	-0.6244937746933772
1105	3	-1.0028381188663147
1105	4	-0.9444909569171855
1105	5	-0.9176127358319235
1105	6	-1.2563941779959649
1105	7	-0.8635867352155557
1105	8	-1.1082994133686483
1105	9	-1.1165946035864351
1105	10-11	-0.9989996469453857
1105	12-13	-0.30848397642542125
1105	14-15	-0.24028332157058685
1105	16-17	-0.04933102589230742
1105	18-19	-0.060854075053043744
1105	20-21	-0.0106697484549656
1105	22-23	-0.11333588892235014
1105	24-25	0.0048142274163538445
1105	26-27	-0.0627638399933872
1105	28-29	-0.12622488327760806
1105	30-31	-0.021213705054940135
1105	32-33	0.22433215254752525
1105	34-35	0.08067093326022956
1105	36-37	0.03431069607076864
1105	38-39	-0.2095334304357621
1105	40-41	-0.26150902165432655
1105	42-43	-0.11983348723233433
1105	44-45	-0.10363695448778287
1105	46-47	-0.04212432322250237
1105	48-49	0.11014768445168244
1105	50-51	0.04227195151947427
1105	52-53	-0.037309389787495206
1105	54-55	0.2098595295212462
1105	56-57	-0.13698121529125018
