##FastQC	0.12.1
>>Basic Statistics	pass
#Measure	Value
Filename	S21_L008_R1_001_TRIMMED_PAIRED.fastqc.gz
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	4571904
Total Bases	455 Mbp
Sequences flagged as poor quality	0
Sequence length	35-101
%GC	50
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	31.56966725460552	32.0	32.0	32.0	32.0	32.0
2	31.561253910843273	32.0	32.0	32.0	32.0	32.0
3	35.41729178915393	37.0	37.0	37.0	32.0	37.0
4	36.08352187622487	37.0	37.0	37.0	32.0	37.0
5	36.26678469189204	37.0	37.0	37.0	37.0	37.0
6	39.86331121563357	41.0	41.0	41.0	37.0	41.0
7	40.131691741558875	41.0	41.0	41.0	37.0	41.0
8	40.00417462833865	41.0	41.0	41.0	37.0	41.0
9	40.19602248866118	41.0	41.0	41.0	37.0	41.0
10-11	40.248924080645615	41.0	41.0	41.0	39.0	41.0
12-13	40.24760559276835	41.0	41.0	41.0	41.0	41.0
14-15	40.23933868690156	41.0	41.0	41.0	41.0	41.0
16-17	40.1857983019766	41.0	41.0	41.0	41.0	41.0
18-19	40.18691862296321	41.0	41.0	41.0	39.0	41.0
20-21	40.17151256894283	41.0	41.0	41.0	37.0	41.0
22-23	40.17987385561902	41.0	41.0	41.0	39.0	41.0
24-25	40.163590814680276	41.0	41.0	41.0	39.0	41.0
26-27	40.120784141574276	41.0	41.0	41.0	37.0	41.0
28-29	40.09972081653508	41.0	41.0	41.0	37.0	41.0
30-31	40.06266743571169	41.0	41.0	41.0	37.0	41.0
32-33	40.072368754899486	41.0	41.0	41.0	37.0	41.0
34-35	40.11500208665799	41.0	41.0	41.0	37.0	41.0
36-37	40.11691084505931	41.0	41.0	41.0	37.0	41.0
38-39	40.097791943802534	41.0	41.0	41.0	37.0	41.0
40-41	40.0963089777896	41.0	41.0	41.0	37.0	41.0
42-43	40.08223791023187	41.0	41.0	41.0	37.0	41.0
44-45	40.03488021729259	41.0	41.0	41.0	37.0	41.0
46-47	40.04048419085283	41.0	41.0	41.0	37.0	41.0
48-49	40.041796540723034	41.0	41.0	41.0	37.0	41.0
50-51	40.04006726079699	41.0	41.0	41.0	37.0	41.0
52-53	39.99753123591679	41.0	41.0	41.0	37.0	41.0
54-55	40.00122835250676	41.0	41.0	41.0	37.0	41.0
56-57	39.97962919053648	41.0	41.0	41.0	37.0	41.0
58-59	39.97151838612875	41.0	41.0	41.0	37.0	41.0
60-61	39.95735810954834	41.0	41.0	41.0	37.0	41.0
62-63	39.92620831185732	41.0	41.0	41.0	37.0	41.0
64-65	39.92160163676359	41.0	41.0	41.0	37.0	41.0
66-67	39.90884852549071	41.0	41.0	41.0	37.0	41.0
68-69	39.89198141214618	41.0	41.0	41.0	37.0	41.0
70-71	39.81025222620308	41.0	41.0	41.0	37.0	41.0
72-73	39.82666836874088	41.0	41.0	41.0	37.0	41.0
74-75	39.803625095202214	41.0	41.0	41.0	37.0	41.0
76-77	39.46127654847902	41.0	41.0	41.0	37.0	41.0
78-79	39.564266242230566	41.0	41.0	41.0	37.0	41.0
80-81	39.70673453824991	41.0	41.0	41.0	37.0	41.0
82-83	39.757564862596666	41.0	41.0	41.0	37.0	41.0
84-85	39.73327736468374	41.0	41.0	41.0	37.0	41.0
86-87	39.70768164868336	41.0	41.0	41.0	37.0	41.0
88-89	39.57719654739283	41.0	41.0	41.0	37.0	41.0
90-91	39.60929248388531	41.0	41.0	41.0	37.0	41.0
92-93	39.56295400750771	41.0	41.0	41.0	37.0	41.0
94-95	39.49317674720072	41.0	41.0	41.0	37.0	41.0
96-97	39.49762279202364	41.0	41.0	41.0	37.0	41.0
98-99	39.322942167352494	41.0	41.0	41.0	37.0	41.0
100-101	39.269783933934534	41.0	39.0	41.0	34.5	41.0
>>END_MODULE
>>Per tile sequence quality	fail
#Tile	Base	Mean
1101	1	-0.14279581055523138
1101	2	-0.01662465073350461
1101	3	-0.2780551265838369
1101	4	-0.12325748224714062
1101	5	0.09626863239811456
1101	6	0.08112570103412509
1101	7	0.05531321933231936
1101	8	0.005042261506439161
1101	9	0.07004978112246363
1101	10-11	0.08546845629179955
1101	12-13	0.08365575418606142
1101	14-15	0.04781340966781045
1101	16-17	0.057374348210167625
1101	18-19	0.03918474497484681
1101	20-21	0.06595616413585503
1101	22-23	0.06345168376235932
1101	24-25	0.05679888629104113
1101	26-27	0.08656192112390215
1101	28-29	0.09173036507035448
1101	30-31	0.029644756313743414
1101	32-33	0.08479090246485299
1101	34-35	0.033288606146363975
1101	36-37	0.034242200287593505
1101	38-39	0.010177881383725662
1101	40-41	0.034721235063656763
1101	42-43	0.010597798786236012
1101	44-45	0.07152256010137137
1101	46-47	0.04467334488535357
1101	48-49	0.020452186890409507
1101	50-51	0.05441712328673276
1101	52-53	0.07743547708207643
1101	54-55	0.07506448027281465
1101	56-57	0.0309435226133985
1101	58-59	0.012691828570801533
1101	60-61	0.07055389811985435
1101	62-63	0.09710117119684725
1101	64-65	0.07640596967255675
1101	66-67	0.07113188746254906
1101	68-69	0.0731256043377897
1101	70-71	0.12258166575182372
1101	72-73	0.0953618163185368
1101	74-75	0.1015823890821963
1101	76-77	0.14110496734617328
1101	78-79	0.17130286895305602
1101	80-81	0.18467155090029053
1101	82-83	0.14677271739527242
1101	84-85	0.13554302649825445
1101	86-87	0.1541407519199396
1101	88-89	0.2589226350282914
1101	90-91	0.21982160522166083
1101	92-93	0.25702277530219675
1101	94-95	0.284564522268262
1101	96-97	0.2580140367131989
1101	98-99	0.3399982171197635
1101	100-101	0.22811649795687572
1102	1	-0.0640679955920227
1102	2	-0.012541847721362132
1102	3	-0.18799849106829924
1102	4	-0.04280429469866931
1102	5	0.24271084788295383
1102	6	0.08480063895175505
1102	7	0.08347042421514317
1102	8	0.08554838790966812
1102	9	0.015793569861365597
1102	10-11	0.0915735990476989
1102	12-13	0.09968438434912485
1102	14-15	0.0789927248549418
1102	16-17	0.13134664980869815
1102	18-19	0.11499085416398458
1102	20-21	0.10213872010567115
1102	22-23	0.07723051640002865
1102	24-25	0.13172563486377697
1102	26-27	0.1961433593610451
1102	28-29	0.12034133426150362
1102	30-31	0.13408887031236816
1102	32-33	0.14916340802800931
1102	34-35	0.11661448620480996
1102	36-37	0.07109606152846482
1102	38-39	0.05924318532883177
1102	40-41	0.09039092104204371
1102	42-43	0.12340374730746362
1102	44-45	0.12553481923599463
1102	46-47	0.13724481026211066
1102	48-49	0.10597724297863209
1102	50-51	0.11360932902365306
1102	52-53	0.1803599860544125
1102	54-55	0.13315997945623792
1102	56-57	0.2021356341611238
1102	58-59	0.1063970799192262
1102	60-61	0.1747473287144814
1102	62-63	0.18285126841610833
1102	64-65	0.14076200601922295
1102	66-67	0.00453549940183251
1102	68-69	0.13039530820957168
1102	70-71	0.15569918843994657
1102	72-73	0.12467547477033492
1102	74-75	0.1250387342828816
1102	76-77	0.13370897195115816
1102	78-79	0.16933417219744484
1102	80-81	0.19224330204389162
1102	82-83	0.18428506250341314
1102	84-85	0.22604597409189608
1102	86-87	0.16941388398721813
1102	88-89	0.2627250125353058
1102	90-91	0.2123683224094819
1102	92-93	0.29569484939179347
1102	94-95	0.3227476963336997
1102	96-97	0.30168363034511714
1102	98-99	0.4851973367139024
1102	100-101	0.24554581033500966
1103	1	-0.026716781766829456
1103	2	0.005457711527906639
1103	3	-0.2783563578372039
1103	4	0.08446415722205813
1103	5	0.15871072802219288
1103	6	0.20216074346741664
1103	7	0.18806358755002606
1103	8	0.04385307580206188
1103	9	0.008386492010032498
1103	10-11	0.09416348256732476
1103	12-13	0.10312372915748114
1103	14-15	0.092248965258527
1103	16-17	0.11129746539589291
1103	18-19	0.14579256827055076
1103	20-21	0.1745026727987522
1103	22-23	0.16763708423282964
1103	24-25	0.14024975522521999
