##FastQC	0.12.1
>>Basic Statistics	pass
#Measure	Value
Filename	S21_L008_R2_001_TRIMMED_PAIRED.fastqc.gz
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	4571904
Total Bases	449.2 Mbp
Sequences flagged as poor quality	0
Sequence length	35-101
%GC	51
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	30.903592463883758	32.0	32.0	32.0	32.0	32.0
2	31.28728818452881	32.0	32.0	32.0	32.0	32.0
3	34.141250122487264	37.0	32.0	37.0	32.0	37.0
4	35.069379846995915	37.0	37.0	37.0	32.0	37.0
5	35.68577511688785	37.0	37.0	37.0	32.0	37.0
6	38.595186381866284	41.0	37.0	41.0	32.0	41.0
7	38.43320966494485	41.0	37.0	41.0	32.0	41.0
8	38.92409114452097	41.0	41.0	41.0	37.0	41.0
9	39.079184296083206	41.0	41.0	41.0	37.0	41.0
10-11	39.02089359269136	41.0	41.0	41.0	37.0	41.0
12-13	39.02664918161011	41.0	41.0	41.0	37.0	41.0
14-15	39.02273144842937	41.0	41.0	41.0	37.0	41.0
16-17	38.70140985025057	41.0	41.0	41.0	32.0	41.0
18-19	38.853025457227446	41.0	41.0	41.0	34.5	41.0
20-21	38.673553403571034	41.0	41.0	41.0	32.0	41.0
22-23	38.80042888039644	41.0	41.0	41.0	34.5	41.0
24-25	39.01477754126071	41.0	41.0	41.0	37.0	41.0
26-27	38.890409553656426	41.0	41.0	41.0	37.0	41.0
28-29	38.97107999205583	41.0	41.0	41.0	37.0	41.0
30-31	38.76537718202307	41.0	41.0	41.0	32.0	41.0
32-33	38.11343643698555	41.0	39.0	41.0	32.0	41.0
34-35	37.71878291845148	41.0	37.0	41.0	27.0	41.0
36-37	37.64474175253753	41.0	37.0	41.0	27.0	41.0
38-39	37.69394470084868	41.0	37.0	41.0	27.0	41.0
40-41	38.49279589465725	41.0	41.0	41.0	32.0	41.0
42-43	38.87086894094119	41.0	41.0	41.0	32.0	41.0
44-45	39.06285048525599	41.0	41.0	41.0	37.0	41.0
46-47	39.081814766882474	41.0	41.0	41.0	37.0	41.0
48-49	39.06806838044858	41.0	41.0	41.0	37.0	41.0
50-51	39.078348767014774	41.0	41.0	41.0	37.0	41.0
52-53	39.152171226568065	41.0	41.0	41.0	37.0	41.0
54-55	38.97288181666467	41.0	41.0	41.0	32.0	41.0
56-57	39.094730029984625	41.0	41.0	41.0	37.0	41.0
58-59	39.02753535880794	41.0	41.0	41.0	37.0	41.0
60-61	38.95172052114957	41.0	41.0	41.0	32.0	41.0
62-63	39.01391488089049	41.0	41.0	41.0	34.5	41.0
64-65	38.973983338018726	41.0	41.0	41.0	32.0	41.0
66-67	38.96029117204364	41.0	41.0	41.0	32.0	41.0
68-69	38.881003002643126	41.0	41.0	41.0	32.0	41.0
70-71	38.92300205653591	41.0	41.0	41.0	32.0	41.0
72-73	38.841533104935216	41.0	41.0	41.0	32.0	41.0
74-75	38.82858736148454	41.0	41.0	41.0	32.0	41.0
76-77	38.266411155713364	41.0	39.0	41.0	32.0	41.0
78-79	38.43389132144526	41.0	39.0	41.0	32.0	41.0
80-81	38.821439671223985	41.0	41.0	41.0	32.0	41.0
82-83	38.917770211935505	41.0	41.0	41.0	32.0	41.0
84-85	38.804475974035576	41.0	41.0	41.0	32.0	41.0
86-87	38.75024155907313	41.0	41.0	41.0	32.0	41.0
88-89	38.73396052705483	41.0	41.0	41.0	32.0	41.0
90-91	38.64747933876559	41.0	41.0	41.0	32.0	41.0
92-93	38.54129561690017	41.0	37.0	41.0	32.0	41.0
94-95	38.41389083254495	41.0	37.0	41.0	32.0	41.0
96-97	38.36643432491359	41.0	37.0	41.0	32.0	41.0
98-99	38.21144215081202	41.0	37.0	41.0	32.0	41.0
100-101	37.9842956795308	41.0	37.0	41.0	29.5	41.0
>>END_MODULE
>>Per tile sequence quality	warn
#Tile	Base	Mean
1101	1	-0.142023220901077
1101	2	-0.49523982963588864
1101	3	-0.807755346167113
1101	4	-0.7751105729753078
1101	5	-0.8253268279132513
1101	6	-1.1395097285128202
1101	7	-0.15830448774448058
1101	8	-0.2695144111964538
1101	9	0.14971955860342945
1101	10-11	0.16980721570464397
1101	12-13	0.17397548593977064
1101	14-15	0.1383043231317913
1101	16-17	0.1422139447804085
1101	18-19	0.12565767009251516
1101	20-21	0.28105926228214173
1101	22-23	0.21019624515010094
1101	24-25	0.19696641004734516
1101	26-27	0.25526673440436554
1101	28-29	0.06568058088010531
1101	30-31	0.2779329402608468
1101	32-33	0.5124513155343635
1101	34-35	0.359189784316321
1101	36-37	0.34999429584569697
1101	38-39	0.18093169233706874
1101	40-41	-0.032997831690742885
1101	42-43	0.022569147114026578
1101	44-45	0.002695541066280782
1101	46-47	0.1010135228253688
1101	48-49	0.08869596846805905
1101	50-51	0.05315544683958251
1101	52-53	0.008127814404517153
1101	54-55	0.14413897650712215
1101	56-57	0.0360858983497252
1101	58-59	0.011120513358804374
1101	60-61	0.07934529990916417
1101	62-63	-0.03590831010676965
1101	64-65	-0.00242478513257538
1101	66-67	0.11274484512996708
1101	68-69	0.06741713691972961
1101	70-71	0.03761598800192445
1101	72-73	0.08370069621413023
1101	74-75	0.04424579644700799
1101	76-77	-0.1716728323588299
1101	78-79	0.03172755068450783
1101	80-81	-0.0036384391257868742
1101	82-83	-0.04549869980667154
1101	84-85	0.030050419095438485
1101	86-87	-0.05593058700139153
1101	88-89	-0.08917101630407132
1101	90-91	-0.11131562971036857
1101	92-93	-0.11727267712715417
1101	94-95	0.03752711284821686
1101	96-97	-0.01724238536678513
1101	98-99	0.10216040943491578
1101	100-101	0.13593305979824066
1102	1	-0.42863427490763684
1102	2	-0.6065862832620077
1102	3	-1.1831419342771738
1102	4	-1.0198881360807377
1102	5	-0.9600852022408546
1102	6	-1.1035695872025002
1102	7	-0.9002194742850804
1102	8	-0.6268626837676479
1102	9	-0.12087055600060381
1102	10-11	-0.1466654478314453
1102	12-13	-0.12466457810624121
1102	14-15	-0.06960288466218856
1102	16-17	-0.06501582496652247
1102	18-19	-0.05869743755482659
1102	20-21	0.031091049186279918
1102	22-23	0.014283604112165449
1102	24-25	-0.06452520456073074
1102	26-27	0.0600044391760548
1102	28-29	-0.05304727598123549
1102	30-31	0.040996838855136275
1102	32-33	0.10261499888738967
1102	34-35	0.07410797434650362
1102	36-37	-0.12552049687374023
1102	38-39	-0.11221295027019096
1102	40-41	-0.2745614725580694
1102	42-43	-0.16878252562424478
1102	44-45	-0.15274934834238962
1102	46-47	-0.16971662660043307
1102	48-49	-0.13975362263560243
1102	50-51	0.006852436120169614
1102	52-53	-0.1363992501451463
1102	54-55	0.11472946941940165
1102	56-57	-0.18144457226735256
1102	58-59	-0.11388959154754019
1102	60-61	-0.08119953718183837
1102	62-63	-0.18449070662421718
1102	64-65	-0.0968390764341791
1102	66-67	-0.10990959745553397
1102	68-69	0.060799691455798666
1102	70-71	-0.1507407826931697
1102	72-73	-0.06761263732324352
1102	74-75	-0.12059117992631485
1102	76-77	-0.459164318760088
1102	78-79	-0.054207290063502
1102	80-81	-0.07064511009067331
1102	82-83	-0.13346623321234574
1102	84-85	-0.1798893553976697
1102	86-87	-0.08038221377120891
1102	88-89	-0.08544287220958324
1102	90-91	-0.1490726415770709
1102	92-93	-0.15435496224512946
1102	94-95	-0.1762963842543641
1102	96-97	-0.2798962287987621
1102	98-99	-0.12109058264591255
1102	100-101	0.003471419130498532
1103	1	-0.6078966051412493
1103	2	-0.407989386545065
1103	3	-1.0358465429784687
1103	4	-0.8540271424655188
1103	5	-0.8909018623255562
1103	6	-0.7436620728419427
1103	7	-0.7130012332832862
1103	8	-0.7714481476962405
1103	9	-0.16939701621016212
1103	10-11	-0.03369466401467491
1103	12-13	0.026077695070227946
1103	14-15	-0.04027413362295107
1103	16-17	0.0016789699211443576
