##FastQC	0.12.1
>>Basic Statistics	pass
#Measure	Value
Filename	S9_L008_R1_001_TRIMMED_PAIRED.fastqc.gz
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	17465613
Total Bases	1.7 Gbp
Sequences flagged as poor quality	0
Sequence length	35-101
%GC	49
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	31.685130433154566	32.0	32.0	32.0	32.0	32.0
2	31.68804186832721	32.0	32.0	32.0	32.0	32.0
3	35.08736830479411	37.0	32.0	37.0	32.0	37.0
4	36.02318487189657	37.0	37.0	37.0	32.0	37.0
5	36.164249602919746	37.0	37.0	37.0	37.0	37.0
6	39.7558560355139	41.0	41.0	41.0	37.0	41.0
7	39.66637729806563	41.0	41.0	41.0	37.0	41.0
8	39.86341040534907	41.0	41.0	41.0	37.0	41.0
9	40.13097616442091	41.0	41.0	41.0	37.0	41.0
10-11	40.21547073669845	41.0	41.0	41.0	39.0	41.0
12-13	40.233450065565975	41.0	41.0	41.0	41.0	41.0
14-15	40.220698981478634	41.0	41.0	41.0	41.0	41.0
16-17	40.1753226182213	41.0	41.0	41.0	39.0	41.0
18-19	40.16243918836402	41.0	41.0	41.0	37.0	41.0
20-21	40.15303860219507	41.0	41.0	41.0	37.0	41.0
22-23	40.16284862145978	41.0	41.0	41.0	39.0	41.0
24-25	40.15417168581486	41.0	41.0	41.0	37.0	41.0
26-27	40.101757178519875	41.0	41.0	41.0	37.0	41.0
28-29	40.07652917764753	41.0	41.0	41.0	37.0	41.0
30-31	40.052552864877974	41.0	41.0	41.0	37.0	41.0
32-33	40.06287320118681	41.0	41.0	41.0	37.0	41.0
34-35	40.10561830838688	41.0	41.0	41.0	37.0	41.0
36-37	40.10307670129607	41.0	41.0	41.0	37.0	41.0
38-39	40.0919604824857	41.0	41.0	41.0	37.0	41.0
40-41	40.0924991588784	41.0	41.0	41.0	37.0	41.0
42-43	40.07665883338677	41.0	41.0	41.0	37.0	41.0
44-45	40.03153582302647	41.0	41.0	41.0	37.0	41.0
46-47	40.037047477192154	41.0	41.0	41.0	37.0	41.0
48-49	40.0429148608788	41.0	41.0	41.0	37.0	41.0
50-51	40.03698521369331	41.0	41.0	41.0	37.0	41.0
52-53	39.99720163142594	41.0	41.0	41.0	37.0	41.0
54-55	39.999992678234484	41.0	41.0	41.0	37.0	41.0
56-57	39.98239711425448	41.0	41.0	41.0	37.0	41.0
58-59	39.97539884127748	41.0	41.0	41.0	37.0	41.0
60-61	39.96110086266586	41.0	41.0	41.0	37.0	41.0
62-63	39.929408302841196	41.0	41.0	41.0	37.0	41.0
64-65	39.9230172586054	41.0	41.0	41.0	37.0	41.0
66-67	39.90591045588798	41.0	41.0	41.0	37.0	41.0
68-69	39.89521845054505	41.0	41.0	41.0	37.0	41.0
70-71	39.81852109167593	41.0	41.0	41.0	37.0	41.0
72-73	39.83124898620753	41.0	41.0	41.0	37.0	41.0
74-75	39.80959893254695	41.0	41.0	41.0	37.0	41.0
76-77	39.46467010751593	41.0	41.0	41.0	37.0	41.0
78-79	39.56714175479935	41.0	41.0	41.0	37.0	41.0
80-81	39.706939153947964	41.0	41.0	41.0	37.0	41.0
82-83	39.7559324039417	41.0	41.0	41.0	37.0	41.0
84-85	39.7327953256743	41.0	41.0	41.0	37.0	41.0
86-87	39.71191937300384	41.0	41.0	41.0	37.0	41.0
88-89	39.57813304219559	41.0	41.0	41.0	37.0	41.0
90-91	39.60977487237213	41.0	41.0	41.0	37.0	41.0
92-93	39.56430218240183	41.0	41.0	41.0	37.0	41.0
94-95	39.49769303908834	41.0	41.0	41.0	37.0	41.0
96-97	39.49876394240522	41.0	41.0	41.0	37.0	41.0
98-99	39.325999391222766	41.0	41.0	41.0	37.0	41.0
100-101	39.28465996601163	41.0	41.0	41.0	34.5	41.0
>>END_MODULE
>>Per tile sequence quality	fail
#Tile	Base	Mean
1101	1	-0.08491601419070705
1101	2	-0.14607552359719023
1101	3	-0.49618587454737906
1101	4	-0.2023182318711676
1101	5	0.07999708244928883
1101	6	-0.04635877238627728
1101	7	-0.16596773456949876
1101	8	-0.022596326208635276
1101	9	0.0028335185213990144
1101	10-11	0.063161355615307
1101	12-13	0.0736316947225859
1101	14-15	0.04789581581134428
1101	16-17	0.07830733832823711
1101	18-19	0.04695777791084765
1101	20-21	0.0934236148822194
1101	22-23	0.05362584257535019
1101	24-25	0.06989281994419372
1101	26-27	0.07490643140113207
1101	28-29	0.06427053863623655
1101	30-31	0.06789671758241411
1101	32-33	0.08711493361765577
1101	34-35	-0.028555437303552367
1101	36-37	0.03207057747547282
1101	38-39	0.027099896359857212
1101	40-41	0.03497868079525546
1101	42-43	0.012770162593405132
1101	44-45	0.0890306808993131
1101	46-47	0.07469462859806697
1101	48-49	0.039799387385848206
1101	50-51	0.04630979549468606
1101	52-53	0.08383297573077186
1101	54-55	0.07008552611143415
1101	56-57	0.05877391102222873
1101	58-59	0.05985993428592451
1101	60-61	0.033464038475059965
1101	62-63	0.056140665902923104
1101	64-65	0.060527661167398605
1101	66-67	0.058596755715143445
1101	68-69	0.029974067569547458
1101	70-71	0.11342837271335782
1101	72-73	0.14586790769842395
1101	74-75	0.0891709873346187
1101	76-77	0.08060903409911191
1101	78-79	0.16212287868810193
1101	80-81	0.17718633329091205
1101	82-83	0.09150543476881978
1101	84-85	0.11524547330515134
1101	86-87	0.1250513983620749
1101	88-89	0.20095408602599463
1101	90-91	0.2290684841920836
1101	92-93	0.21923401815817556
1101	94-95	0.2419212552316381
1101	96-97	0.16560605275561358
1101	98-99	0.34097514024340114
1101	100-101	0.15382780588365108
1102	1	-0.07281840929209693
1102	2	-0.02668658358389564
1102	3	-0.3156628749229142
1102	4	-0.07223614173214088
1102	5	0.1430547085941285
1102	6	0.029741466361649316
1102	7	-0.1287982422802898
1102	8	0.06946315022207727
1102	9	0.031809325626547036
1102	10-11	0.09407651548845308
1102	12-13	0.0594344033479004
1102	14-15	0.026837112182697354
1102	16-17	0.06347966120618054
1102	18-19	0.09740505741750383
1102	20-21	0.08449285293837505
1102	22-23	0.09996545162701409
1102	24-25	0.08818716507183666
1102	26-27	0.10251509665089031
1102	28-29	0.0671906087673193
1102	30-31	0.12592359893123017
1102	32-33	0.08967072769120676
1102	34-35	0.043802208676332555
1102	36-37	0.015991863015798913
1102	38-39	0.06072265489483186
1102	40-41	0.044647924994116295
1102	42-43	0.05210065015455001
1102	44-45	0.09060525933811903
1102	46-47	0.07380935360167484
1102	48-49	0.05827276887091415
1102	50-51	0.0447491891201679
1102	52-53	0.10063395344570836
1102	54-55	0.06383274737127209
1102	56-57	0.06942979482006706
1102	58-59	0.06541348672375591
1102	60-61	0.05770331880068369
1102	62-63	0.12226647489541875
1102	64-65	0.09940300357591525
1102	66-67	0.02704691493245548
1102	68-69	0.03002993239083196
1102	70-71	0.11134658038571388
1102	72-73	0.1009811866113921
1102	74-75	0.1003554175076431
1102	76-77	0.1627897703478567
1102	78-79	0.16544335168793367
1102	80-81	0.19309283032749391
1102	82-83	0.1709475747302207
1102	84-85	0.1286555394594302
1102	86-87	0.11387082909293156
1102	88-89	0.2855447643288187
1102	90-91	0.2627883296735689
1102	92-93	0.3113123371342681
1102	94-95	0.33710786143397087
1102	96-97	0.2599918247541311
1102	98-99	0.4601837799837085
1102	100-101	0.26135238609606404
1103	1	0.0013052752288622571
1103	2	-0.004766004037350058
1103	3	-0.2557428725621307
1103	4	-0.02338548321622369
1103	5	0.15192960129320454
1103	6	0.06437570376714774
1103	7	0.01805844153646774
1103	8	0.022241432404563
1103	9	0.014487606060214375
1103	10-11	0.03595026244882149
1103	12-13	0.043875822518408825
1103	14-15	0.06257474056565115
1103	16-17	0.08773563044945121
1103	18-19	0.08452269504324761
1103	20-21	0.07870512733496327
1103	22-23	0.09085145006870476
1103	24-25	0.08519983795268615
