##FastQC	0.12.1
>>Basic Statistics	pass
#Measure	Value
Filename	29_4E_fox_S21_L008_R1_001.fastq.gz
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	4827433
Total Bases	487.5 Mbp
Sequences flagged as poor quality	0
Sequence length	101
%GC	50
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	31.297798643709815	32.0	32.0	32.0	32.0	32.0
2	31.48791832015069	32.0	32.0	32.0	32.0	32.0
3	35.23526395912693	37.0	32.0	37.0	32.0	37.0
4	35.94660578406785	37.0	37.0	37.0	32.0	37.0
5	36.14409376577572	37.0	37.0	37.0	37.0	37.0
6	39.7086840977389	41.0	41.0	41.0	37.0	41.0
7	40.00329989043867	41.0	41.0	41.0	37.0	41.0
8	39.86313844231499	41.0	41.0	41.0	37.0	41.0
9	40.065472063516985	41.0	41.0	41.0	37.0	41.0
10-11	40.117482417674154	41.0	41.0	41.0	37.0	41.0
12-13	40.12405961926349	41.0	41.0	41.0	37.0	41.0
14-15	40.11222444723728	41.0	41.0	41.0	37.0	41.0
16-17	40.05579632073609	41.0	41.0	41.0	37.0	41.0
18-19	40.055063943922164	41.0	41.0	41.0	37.0	41.0
20-21	40.03888971633579	41.0	41.0	41.0	37.0	41.0
22-23	40.0467836632844	41.0	41.0	41.0	37.0	41.0
24-25	40.02865322004469	41.0	41.0	41.0	37.0	41.0
26-27	39.971761182392385	41.0	41.0	41.0	37.0	41.0
28-29	39.94428529613979	41.0	41.0	41.0	37.0	41.0
30-31	39.901975128396394	41.0	41.0	41.0	37.0	41.0
32-33	39.906912120789656	41.0	41.0	41.0	37.0	41.0
34-35	39.9481156962717	41.0	41.0	41.0	37.0	41.0
36-37	39.94275591188941	41.0	41.0	41.0	37.0	41.0
38-39	39.91175662096191	41.0	41.0	41.0	37.0	41.0
40-41	39.90018017857524	41.0	41.0	41.0	37.0	41.0
42-43	39.874897797649396	41.0	41.0	41.0	37.0	41.0
44-45	39.82073215723553	41.0	41.0	41.0	37.0	41.0
46-47	39.81994840736267	41.0	41.0	41.0	37.0	41.0
48-49	39.81484714547048	41.0	41.0	41.0	37.0	41.0
50-51	39.81068313117966	41.0	41.0	41.0	37.0	41.0
52-53	39.765168154586505	41.0	41.0	41.0	37.0	41.0
54-55	39.764281037147484	41.0	41.0	41.0	37.0	41.0
56-57	39.73820568819909	41.0	41.0	41.0	37.0	41.0
58-59	39.72264120496338	41.0	41.0	41.0	37.0	41.0
60-61	39.69924139806808	41.0	41.0	41.0	37.0	41.0
62-63	39.66221913385437	41.0	41.0	41.0	37.0	41.0
64-65	39.650553617212296	41.0	41.0	41.0	37.0	41.0
66-67	39.6277411825291	41.0	41.0	41.0	37.0	41.0
68-69	39.603006401124574	41.0	41.0	41.0	37.0	41.0
70-71	39.51100709217508	41.0	41.0	41.0	37.0	41.0
72-73	39.51701059341476	41.0	41.0	41.0	37.0	41.0
74-75	39.48074556394672	41.0	41.0	41.0	37.0	41.0
76-77	39.111144162953686	41.0	41.0	41.0	34.5	41.0
78-79	39.20557250613318	41.0	41.0	41.0	37.0	41.0
80-81	39.353407494210686	41.0	41.0	41.0	37.0	41.0
82-83	39.39650648698802	41.0	41.0	41.0	37.0	41.0
84-85	39.36057807534563	41.0	41.0	41.0	37.0	41.0
86-87	39.32420273880549	41.0	41.0	41.0	37.0	41.0
88-89	39.182296574597714	41.0	41.0	41.0	37.0	41.0
90-91	39.19869234850074	41.0	41.0	41.0	37.0	41.0
92-93	39.133179580120526	41.0	41.0	41.0	37.0	41.0
94-95	39.048453287699694	41.0	41.0	41.0	37.0	41.0
96-97	39.03158697386375	41.0	41.0	41.0	37.0	41.0
98-99	38.82733411318189	41.0	41.0	41.0	32.0	41.0
100-101	38.3517199513696	41.0	39.0	41.0	29.5	41.0
>>END_MODULE
>>Per tile sequence quality	fail
#Tile	Base	Mean
1101	1	-0.1702235552715301
1101	2	-0.008358014835309291
1101	3	-0.3576627282398164
1101	4	-0.19581707896099942
1101	5	0.07457008982066071
1101	6	-0.003940996059576207
1101	7	0.021684301519300675
1101	8	-0.030183964906278504
1101	9	0.009755543327862881
1101	10-11	0.06198132324001193
1101	12-13	0.05348418702330093
1101	14-15	0.025877482622227888
1101	16-17	0.05079173585158969
1101	18-19	-0.010874641385740347
1101	20-21	0.046155604802756045
1101	22-23	0.030145864068082062
1101	24-25	0.026751957303360996
1101	26-27	0.06758688406646485
1101	28-29	0.05528619994192496
1101	30-31	-0.011287595554087204
1101	32-33	0.02577110216681433
1101	34-35	0.007596013542602975
1101	36-37	-0.015551112049280391
1101	38-39	-0.037691932088684155
1101	40-41	-0.024776718780913143
1101	42-43	-0.01818183531791817
1101	44-45	0.022799298083043595
1101	46-47	0.006046020650899209
1101	48-49	-0.03631009899282134
1101	50-51	0.015572912163932529
1101	52-53	0.0461495966919685
1101	54-55	0.02631009458869471
1101	56-57	0.014047260567870978
1101	58-59	-0.005411497598402093
1101	60-61	0.02683304072662196
1101	62-63	0.08785316412861732
1101	64-65	0.059022602108903754
1101	66-67	0.06556513906142669
1101	68-69	0.04710560354700277
1101	70-71	0.08877280382827024
1101	72-73	0.07895630435488243
1101	74-75	0.06987346565201591
1101	76-77	0.10423250274627804
1101	78-79	0.14163435502497634
1101	80-81	0.16427972859298734
1101	82-83	0.11156820572201553
1101	84-85	0.13638898360441942
1101	86-87	0.1372439172658133
1101	88-89	0.2539601102453872
1101	90-91	0.22835057709942674
1101	92-93	0.2577907419005143
1101	94-95	0.3163417367587229
1101	96-97	0.2803343806926435
1101	98-99	0.39184256443742527
1101	100-101	0.35851536168954823
1102	1	-0.15855738757950633
1102	2	-0.07335824675309865
1102	3	-0.2801553338104341
1102	4	-0.03826056481190676
1102	5	0.13457589010804583
1102	6	0.07739187062704644
1102	7	0.056199291139222396
1102	8	0.05474948405798585
1102	9	0.030576607272983836
1102	10-11	0.03162820380515541
1102	12-13	-0.004048292009223076
1102	14-15	0.006666256114449709
1102	16-17	0.057071085750884265
1102	18-19	0.11024477659898935
1102	20-21	0.08225091505019577
1102	22-23	-0.059925852409371316
1102	24-25	0.025705750377404968
1102	26-27	0.10277185841729164
1102	28-29	0.0882241485798616
1102	30-31	0.09778545011685225
1102	32-33	0.12127274034975954
1102	34-35	0.07871067604131099
1102	36-37	0.005765178371767377
1102	38-39	0.09079872349840201
1102	40-41	0.03523985748466174
1102	42-43	0.03135299381489176
1102	44-45	0.08290723590283733
1102	46-47	0.09747410481784868
1102	48-49	0.12813718468761692
1102	50-51	0.025703502963963842
1102	52-53	0.08930223561189621
1102	54-55	0.05268640955085857
1102	56-57	0.13132691641123273
1102	58-59	-0.01816650760834193
1102	60-61	0.024000129764779388
1102	62-63	0.0972863617314772
1102	64-65	0.11189798448042865
1102	66-67	0.04648369281269993
1102	68-69	0.014437288624201017
1102	70-71	0.12123614090508283
1102	72-73	0.08227694545998787
1102	74-75	0.09526565269301557
1102	76-77	0.1834961473601382
1102	78-79	0.16715116859633383
1102	80-81	0.1915026606242023
1102	82-83	0.1803447152140123
1102	84-85	0.21400460633648066
1102	86-87	0.15327669872850436
1102	88-89	0.3898325451526219
1102	90-91	0.3363952196344613
1102	92-93	0.3369290572028305
1102	94-95	0.39796977154357904
1102	96-97	0.26755219647682793
1102	98-99	0.5320926233539112
1102	100-101	0.49727529023076755
1103	1	-0.22500074352445054
1103	2	-0.023332156430083018
1103	3	-0.2594906758180997
1103	4	-0.016412023345125704
1103	5	0.17150632152416279
1103	6	0.14830817399298013
1103	7	0.10930908931794647
1103	8	-0.022952547620711528
1103	9	-0.005220438068072042
1103	10-11	0.07412569296224092
1103	12-13	0.1159094023917362
1103	14-15	0.039168626686809205
1103	16-17	0.09047679868999836
1103	18-19	0.1117176174143566
1103	20-21	0.1141815428450812
1103	22-23	0.17803023729645417
